Apt. group,Time-averaged real power (σ) [W],Number of bedrooms (σ),Number of all rooms (σ),Apt. area (σ) [m2]
AG01,42,1.2,3.2,62
AG02,81,1.3,3.9,77
AG03,105,1.3,3.3,65
AG04,119,1.1,3.1,58
AG05,141,1.5,4.2,91
AG06,156,1.3,3.8,77
AG07,166,1.4,4.2,85
AG08,179,1.3,3.8,77
AG09,189,1.4,3.7,86
AG10,203,1.3,3.7,81
AG11,216,1.9,4.9,102
AG12,228,1.4,4.0,81
AG13,245,1.7,4.2,83
AG14,267,1.6,4.1,73
AG15,289,1.9,5.1,111
AG16,317,2.1,5.8,119
AG17,340,2.0,5.7,115
AG18,366,1.9,5.1,114
AG19,393,2.1,5.3,118
AG20,434,2.3,5.9,137
AG21,470,2.8,6.4,159
AG22,528,2.5,6.0,144
AG23,589,2.0,5.4,116
AG24,714,2.9,5.8,160
AG25,874,2.6,6.5,165
AG26,1255,2.7,6.5,164
Average,343,1.8,4.8,105
